BookTitle,BookAuthor,Type,Condition,Remarks
Idylls of the King,"Tennyson, Alfred",Paperback,Good,N/A
The Silmarillion,"Tolkein, J.R.R.",Paperback,New,N/A
The Fall of Gondolin,"Tolkein, J.R.R.",Paperback,New,N/A
The Hobbit,"Tolkein, J.R.R.",Paperback,Like New,N/A
The Fellowship of the Ring,"Tolkein, J.R.R.",Paperback,Like New,N/A
The Two Towers,"Tolkein, J.R.R.",Paperback,Like New,N/A
The Return of the King,"Tolkein, J.R.R.",Paperback,Like New,N/A
Death by Black Hole: And Other Cosmic Quandaries,"Tyson, Neil DeGrasse",Kindle,N/A,N/A
Astrophysics for People in a Hurry,"Tyson, Neil DeGrasse",Hardcover,Like New,Signed Copy
The Color Purple,"Walker, Alice",Paperback,Good,N/A
Beautiful Ruins,"Walter, Jess",Paperback,Good,N/A
Dragon Age: Tevinter Nights,"Weekes, Patrick",Kindle,N/A,N/A
Leviathan,"Westerfield, Scott",Hardcover,Good,N/A
Uglies,"Westerfield, Scott",Paperback,Very Good,N/A
Pretties,"Westerfield, Scott",Paperback,Good,N/A
Specials,"Westerfield, Scott",Paperback,Good,N/A
Extras,"Westerfield, Scott",Paperback,Good,N/A
Imposters,"Westerfield, Scott",Paperback,Good,N/A
Little House in the Big Woods,"Wilder, Laura Ingalls",Paperback,Good,N/A
Farmer Boy,"Wilder, Laura Ingalls",Paperback,Good,N/A
Little House on the Prairie,"Wilder, Laura Ingalls",Paperback,Good,N/A
On the Banks of Plum Creek,"Wilder, Laura Ingalls",Paperback,Good,N/A
The Long Winter,"Wilder, Laura Ingalls",Paperback,Good,N/A
Little Town on the Prairie,"Wilder, Laura Ingalls",Paperback,Good,N/A
These Happy Golden Years,"Wilder, Laura Ingalls",Paperback,Good,N/A
The First Four Years,"Wilder, Laura Ingalls",Paperback,Good,N/A
Avatar: The Rise of Kyoshi,"Yee, F.C.",Hardcover,Like New,N/A
Star Wars: Thrawn,"Zahn, Timothy",Paperback,New,N/A
The Accidental Superpower,"Zeihan, Peter",Paperback,Very Good,N/A
